Haem_degrading	12	Halobacteria,Proteobacteria,Acidobacteria,Actinobacteria,Thermoprotei,Bacteroidetes,Chloroflexi,Fusobacteria,Planctomycetes,Firmicutes,Rhodothermaeota,Deinococcus-Thermus	2	Archaea,Bacteria
AP2	1	Methanobacteria	1	Archaea
DUF1471	1	Proteobacteria	1	Bacteria
DUF1476	1	Proteobacteria	1	Bacteria
TSP1_ADAMTS	1	Proteobacteria	1	Bacteria
Glyco_hydro_92	9	Acidobacteria,Actinobacteria,Thermotogae,Bacteroidetes,Chloroflexi,Firmicutes,Halobacteria,Proteobacteria,Rhodothermaeota	2	Bacteria,Archaea
Glyco_hydro_97	6	Halobacteria,Acidobacteria,Ignavibacteriae,Bacteroidetes,Actinobacteria,Proteobacteria	2	Archaea,Bacteria
MmcB-like	2	Cyanobacteria,Proteobacteria	1	Bacteria
Glyco_hydro_99	4	Chloroflexi,Thermotogae,Thermoprotei,Halobacteria	2	Bacteria,Archaea
Mis14	1	Methanomicrobia	1	Archaea
PolyA_pol_RNAbd	19	Chlamydiae,Proteobacteria,Acidobacteria,Cyanobacteria,Actinobacteria,Chloroflexi,Chlorobi,Thermotogae,Tenericutes,Deinococcus-Thermus,Bacteroidetes,Spirochaetes,Fusobacteria,Firmicutes,Ignavibacteriae,Planctomycetes,Thermoplasmata,Aquificae,Rhodothermaeota	2	Bacteria,Archaea
Lar_N	13	Halobacteria,Methanomicrobia,Proteobacteria,Cyanobacteria,Actinobacteria,Archaeoglobi,Thermotogae,Chloroflexi,Firmicutes,Acidobacteria,Planctomycetes,Thermoplasmata,Bacteroidetes	2	Archaea,Bacteria
Maf	19	Thermoprotei,Actinobacteria,Chlamydiae,Proteobacteria,Methanomicrobia,Thermococci,Acidobacteria,Cyanobacteria,Chloroflexi,Chlorobi,Thermotogae,Deinococcus-Thermus,Bacteroidetes,Fusobacteria,Firmicutes,Ignavibacteriae,Planctomycetes,Aquificae,Rhodothermaeota	2	Archaea,Bacteria
Alkyl_sulf_dimr	6	Actinobacteria,Halobacteria,Methanomicrobia,Proteobacteria,Cyanobacteria,Bacteroidetes	2	Bacteria,Archaea
Ntox11	2	Actinobacteria,Proteobacteria	1	Bacteria
PEP-utilizers_C	26	Thermoprotei,Actinobacteria,Methanomicrobia,Halobacteria,Chlamydiae,Thermoplasmata,Proteobacteria,Thermococci,Acidobacteria,Cyanobacteria,Chloroflexi,Chlorobi,Methanopyri,Archaeoglobi,Methanobacteria,Thermotogae,Deinococcus-Thermus,Spirochaetes,Fusobacteria,Firmicutes,Ignavibacteriae,Planctomycetes,Bacteroidetes,Tenericutes,Aquificae,Rhodothermaeota	2	Archaea,Bacteria
DUF512	10	Cyanobacteria,Actinobacteria,Chloroflexi,Thermococci,Methanopyri,Deinococcus-Thermus,Firmicutes,Proteobacteria,Aquificae,Rhodothermaeota	2	Bacteria,Archaea
RS4NT	8	Thermoprotei,Methanomicrobia,Halobacteria,Thermoplasmata,Thermococci,Methanopyri,Archaeoglobi,Methanobacteria	1	Archaea
Pantoate_transf	18	Thermoprotei,Halobacteria,Proteobacteria,Thermococci,Cyanobacteria,Actinobacteria,Chloroflexi,Chlorobi,Thermotogae,Deinococcus-Thermus,Bacteroidetes,Fusobacteria,Acidobacteria,Ignavibacteriae,Planctomycetes,Firmicutes,Aquificae,Rhodothermaeota	2	Archaea,Bacteria
Ribosomal_S24e	8	Thermoprotei,Methanomicrobia,Halobacteria,Thermoplasmata,Thermococci,Methanopyri,Archaeoglobi,Methanobacteria	1	Archaea
DUF294	12	Proteobacteria,Methanomicrobia,Chlorobi,Archaeoglobi,Bacteroidetes,Chloroflexi,Firmicutes,Thermoprotei,Aquificae,Actinobacteria,Rhodothermaeota,Deinococcus-Thermus	2	Bacteria,Archaea
SUKH_5	5	Bacteroidetes,Firmicutes,Chloroflexi,Proteobacteria,Planctomycetes	1	Bacteria
YEATS	1	Methanomicrobia	1	Archaea
Cornifin	5	Chloroflexi,Methanomicrobia,Cyanobacteria,Proteobacteria,Halobacteria	2	Bacteria,Archaea
LAM_C	12	Methanomicrobia,Proteobacteria,Chlorobi,Thermotogae,Deinococcus-Thermus,Fusobacteria,Ignavibacteriae,Chloroflexi,Bacteroidetes,Firmicutes,Rhodothermaeota,Planctomycetes	2	Archaea,Bacteria
APT	1	Proteobacteria	1	Bacteria
PHBC_N	1	Proteobacteria	1	Bacteria
APH	19	Actinobacteria,Methanomicrobia,Halobacteria,Proteobacteria,Chlamydiae,Acidobacteria,Chloroflexi,Chlorobi,Cyanobacteria,Thermotogae,Thermoprotei,Deinococcus-Thermus,Bacteroidetes,Spirochaetes,Fusobacteria,Planctomycetes,Thermoplasmata,Firmicutes,Aquificae	2	Bacteria,Archaea
DUF1385	9	Acidobacteria,Chloroflexi,Actinobacteria,Thermotogae,Fusobacteria,Firmicutes,Spirochaetes,Proteobacteria,Deinococcus-Thermus	1	Bacteria
TMP_2	1	Proteobacteria	1	Bacteria
MetallophosC	4	Acidobacteria,Bacteroidetes,Actinobacteria,Proteobacteria	1	Bacteria
MetallophosN	3	Bacteroidetes,Actinobacteria,Proteobacteria	1	Bacteria
